Date,Country,City,Specie,count,min,max,median,variance
30/11/2019,GB,London,pm25,606,2,153,59,2632.61
02/12/2019,GB,London,pm25,577,1,107,63,3229.59
07/12/2019,GB,London,pm25,604,2,60,28,990.62
02/10/2019,GB,London,pm25,588,1,89,25,1898.06
10/10/2019,GB,London,pm25,616,1,135,30,1948.85
16/11/2019,GB,London,pm25,602,17,124,55,3626.95
25/10/2019,GB,London,pm25,625,1,112,27,1761.52
08/11/2019,GB,London,pm25,605,4,99,47,2995.11
11/11/2019,GB,London,pm25,590,1,93,32,2488.65
09/11/2019,GB,London,pm25,605,4,75,49,1912.93
13/11/2019,GB,London,pm25,606,3,179,30,2411.04
24/11/2019,GB,London,pm25,668,16,107,57,3534.45
30/09/2019,GB,London,pm25,558,2,164,25,2583.39
14/10/2019,GB,London,pm25,574,2,87,30,3123.06
30/10/2019,GB,London,pm25,629,13,114,49,2700.71
04/12/2019,GB,London,pm25,599,9,169,71,5731.41
23/12/2019,GB,London,pm25,583,2,97,34,1892.85
03/10/2019,GB,London,pm25,643,5,104,46,2641.09
16/10/2019,GB,London,pm25,625,2,99,30,2989.77
28/11/2019,GB,London,pm25,602,6,121,35,1689.4
10/12/2019,GB,London,pm25,637,1,89,32,2066.48
11/12/2019,GB,London,pm25,629,2,99,30,1559.9
20/12/2019,GB,London,pm25,570,3,84,25,1968.79
01/10/2019,GB,London,pm25,519,1,176,30,3020.68
24/10/2019,GB,London,pm25,617,12,137,61,5029.96
07/11/2019,GB,London,pm25,588,2,80,30,2751.56
15/12/2019,GB,London,pm25,604,1,95,27,1409.87
02/01/2020,GB,London,pm25,610,1,189,30,3480.87
09/10/2019,GB,London,pm25,632,5,65,25,1003.44
18/10/2019,GB,London,pm25,633,1,109,30,2004.51
26/10/2019,GB,London,pm25,610,1,80,30,1195.1
12/11/2019,GB,London,pm25,597,1,91,25,1233.55
19/11/2019,GB,London,pm25,577,19,125,66,2175.8
16/12/2019,GB,London,pm25,557,2,89,31,3097.5
